Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,EVC Mode,HA Protection
win10asydev21.vdi,Powered On,Normal,120  GB,116.6  GB,175,16469,,Protected
win10asydev22.vdi,Powered On,Normal,120  GB,106.02  GB,131,16471,,Protected
win10asydev23.vdi,Powered On,Normal,120  GB,107.26  GB,153,16471,,Protected
win10asydev24.vdi,Powered On,Normal,120  GB,104.46  GB,153,16470,,Protected
win10asydev25.vdi,Powered On,Normal,120  GB,101.33  GB,109,12739,,Protected
win10asydev26.vdi,Powered On,Normal,120  GB,106.01  GB,131,16471,,Protected
win10asydev27.vdi,Powered On,Normal,120  GB,106.22  GB,109,16479,,Protected
win10asydev28.vdi,Powered On,Normal,120  GB,108.14  GB,219,16471,,Protected
win10asydev29.vdi,Powered On,Normal,120  GB,103.36  GB,131,16462,,Protected
win10asydev30.vdi,Powered On,Normal,120  GB,105.09  GB,131,16469,,Protected
win10asydev31.vdi,Powered On,Normal,80  GB,79.39  GB,131,8239,,Protected
win10asydev32.vdi,Powered On,Normal,100  GB,99.47  GB,87,8247,,Protected
win10asydev33.vdi,Powered On,Normal,100  GB,82.86  GB,153,8241,,Protected
win10asydev35.vdi,Powered On,Normal,120  GB,80.33  GB,65,9778,,Protected
win10asydev36.vdi,Powered On,Normal,100  GB,99.31  GB,131,8239,,Protected
win10asydev37.vdi,Powered On,Normal,120  GB,111.89  GB,131,16469,,Protected
win10asydev38.vdi,Powered On,Normal,100  GB,84.89  GB,87,8238,,Protected
win10asydev39.vdi,Powered On,Normal,120  GB,105.51  GB,175,16468,,Protected
win10asydev40.vdi,Powered On,Normal,120  GB,103.47  GB,131,11967,,Protected
win10asydev41.vdi,Powered On,Normal,120  GB,106.57  GB,131,16469,,Protected
win10asydev42.vdi,Powered On,Normal,120  GB,103.26  GB,175,16472,,Protected
win10asydev43.vdi,Powered On,Normal,120  GB,102.36  GB,131,11680,,Protected
win10asydev44.vdi,Powered On,Normal,120  GB,107.36  GB,109,16471,,Protected
win10asydev45.vdi,Powered On,Normal,120  GB,107.14  GB,131,16468,,Protected
win10asydev46.vdi,Powered On,Normal,120  GB,107.97  GB,109,11836,,Protected
win10asydev47.vdi,Powered On,Normal,380  GB,148.2  GB,131,8240,,Protected
win10asydev48.vdi,Powered On,Normal,120  GB,107.86  GB,109,16471,,Protected
win10asydev49.vdi,Powered On,Normal,120  GB,106.48  GB,131,16472,,Protected
win10asydev50.vdi,Powered On,Normal,120  GB,89.94  GB,131,16470,,Protected
win10asydev51.vdi,Powered On,Normal,120  GB,101.53  GB,131,16470,,Protected
win10asydev52.vdi,Powered On,Normal,120  GB,106.3  GB,109,16477,,Protected
win10asydev53.vdi,Powered On,Normal,120  GB,103.95  GB,153,16464,,Protected
win10asydev54.vdi,Powered On,Normal,120  GB,109.56  GB,153,12739,,Protected
win10asydev55.vdi,Powered On,Normal,120  GB,103.91  GB,109,11724,,Protected
win10asydev56.vdi,Powered On,Normal,120  GB,101.7  GB,131,16468,,Protected
win10asydev57.vdi,Powered On,Normal,120  GB,105.45  GB,175,16471,,Protected
win10asydev58.vdi,Powered On,Normal,120  GB,103.66  GB,109,11862,,Protected
win10asydev59.vdi,Powered On,Normal,120  GB,103.72  GB,109,16471,,Protected
win10asydev60.vdi,Powered On,Normal,120  GB,108.61  GB,131,16478,,Protected
win10asydev62.vdi,Powered On,Normal,100  GB,87.49  GB,65,8241,,Protected
win10asydev63.vdi,Powered On,Normal,100  GB,92.75  GB,175,8249,,Protected
win10asydev64.vdi,Powered On,Normal,128.11  GB,95.65  GB,109,8242,,Protected
win10asydev65.vdi,Powered On,Normal,128.11  GB,104.41  GB,197,8251,,Protected
win10asydev66.vdi,Powered On,Normal,120  GB,106.76  GB,109,16470,,Protected
win10asydev67.vdi,Powered On,Normal,120  GB,103.13  GB,175,16471,,Protected
win10asydev68.vdi,Powered On,Normal,120  GB,101.91  GB,153,11928,,Protected
win10asydev69.vdi,Powered On,Normal,120  GB,107.04  GB,109,12045,,Protected
win10asydev70.vdi,Powered On,Normal,120  GB,107.31  GB,219,16463,,Protected
win10asydev75.vdi,Powered On,Normal,100  GB,83.21  GB,1075,8240,,Protected
win10asydev89.vdi,Powered On,Normal,100  GB,86.63  GB,87,8237,,Protected
win10asydev91.vdi,Powered On,Normal,100  GB,88.48  GB,109,8238,,Protected
win10asydev97.vdi,Powered On,Normal,120  GB,119.14  GB,65,8241,,Protected
win10asydev98.vdi,Powered On,Normal,100  GB,94.34  GB,241,8243,,Protected
win10asydev99.vdi,Powered On,Normal,100  GB,99.22  GB,329,8250,,Protected
win10atydev00.vdi,Powered On,Normal,120  GB,102.87  GB,131,16471,,Protected
win10atydev01.vdi,Powered On,Normal,120  GB,109.7  GB,351,16469,,Protected
win10atydev02.vdi,Powered On,Normal,120  GB,106.64  GB,153,16471,,Protected
win10atydev03.vdi,Powered On,Normal,120  GB,106.18  GB,219,16471,,Protected
win10audit01.vdi,Powered On,Normal,720  GB,317.31  GB,153,14903,,Protected
win10dbay003.vdi,Powered On,Normal,350  GB,177.41  GB,351,8239,,Protected
win10dbay004.vdi,Powered On,Normal,350  GB,215.47  GB,197,8241,,Protected
win10dbay007.vdi,Powered On,Normal,100  GB,99.34  GB,109,8243,,Protected
win10tylgold01.vdi,Powered On,Normal,100  GB,99.32  GB,65,8162,,Protected
win81adba001.vdi,Powered On,Normal,160  GB,65.02  GB,43,8236,,Protected
